"date"	"samples"	"reads"	"bases"
""	NA	NA	NA
"2011-01-01"	23	342077	195757315
"2011-01-02"	NA	NA	NA
"2011-01-03"	NA	NA	NA
"2011-01-04"	NA	NA	NA
"2011-01-05"	50	143812285	35848584768
"2011-01-06"	6	2968959	837289809
"2011-01-07"	NA	NA	NA
"2011-01-08"	NA	NA	NA
"2011-01-09"	NA	NA	NA
"2011-01-10"	771	111024281	21889489858
"2011-01-11"	90	268268	56279815
"2011-01-12"	372	2389541	912478098
"2011-01-13"	NA	NA	NA
"2011-01-14"	1	141603	34790978
"2011-01-15"	5	2721980	767288205
"2011-01-16"	NA	NA	NA
"2011-01-17"	NA	NA	NA
"2011-01-18"	NA	NA	NA
"2011-01-19"	NA	NA	NA
"2011-01-20"	1	411617	118793765
"2011-01-21"	NA	NA	NA
"2011-01-22"	NA	NA	NA
"2011-01-23"	2	993437	283957831
"2011-01-24"	NA	NA	NA
"2011-01-25"	NA	NA	NA
"2011-01-26"	518	5470599	2165281365
"2011-01-27"	340	2123778	858061367
"2011-01-28"	NA	NA	NA
"2011-01-29"	NA	NA	NA
"2011-01-30"	NA	NA	NA
"2011-01-31"	NA	NA	NA
"2011-02-01"	2	442789	113937009
"2011-02-02"	NA	NA	NA
"2011-02-03"	NA	NA	NA
"2011-02-04"	1	21752	12456701
"2011-02-05"	NA	NA	NA
"2011-02-06"	NA	NA	NA
"2011-02-07"	2	60303318	9166104336
"2011-02-08"	48	735201	223314506
"2011-02-09"	NA	NA	NA
"2011-02-10"	NA	NA	NA
"2011-02-11"	NA	NA	NA
"2011-02-12"	NA	NA	NA
"2011-02-13"	NA	NA	NA
"2011-02-14"	NA	NA	NA
"2011-02-15"	NA	NA	NA
"2011-02-16"	195	921928857	159202893422
"2011-02-17"	NA	NA	NA
"2011-02-18"	9	27515877	3763920596
"2011-02-19"	17	83365180	4303210147
"2011-02-20"	NA	NA	NA
"2011-02-21"	NA	NA	NA
"2011-02-22"	NA	NA	NA
"2011-02-23"	NA	NA	NA
"2011-02-24"	NA	NA	NA
"2011-02-25"	1	1814	979430
"2011-02-26"	NA	NA	NA
"2011-02-27"	NA	NA	NA
"2011-02-28"	2	32100	18096853
"2011-03-01"	NA	NA	NA
"2011-03-02"	3	1009403	541338847
"2011-03-03"	NA	NA	NA
"2011-03-04"	NA	NA	NA
"2011-03-05"	NA	NA	NA
"2011-03-06"	NA	NA	NA
"2011-03-07"	20	539739	267125799
"2011-03-08"	NA	NA	NA
"2011-03-09"	NA	NA	NA
"2011-03-10"	24	814704	337543895
"2011-03-11"	3	3188562	1669690876
"2011-03-12"	NA	NA	NA
"2011-03-13"	NA	NA	NA
"2011-03-14"	NA	NA	NA
"2011-03-15"	NA	NA	NA
"2011-03-16"	1	132757	62446333
"2011-03-17"	NA	NA	NA
"2011-03-18"	NA	NA	NA
"2011-03-19"	NA	NA	NA
"2011-03-20"	NA	NA	NA
"2011-03-21"	549	26752952	11856385167
"2011-03-22"	48	63288	27486635
"2011-03-23"	NA	NA	NA
"2011-03-24"	NA	NA	NA
"2011-03-25"	NA	NA	NA
"2011-03-26"	NA	NA	NA
"2011-03-27"	NA	NA	NA
"2011-03-28"	163	71968261	7464009368
"2011-03-29"	19	3558549	1834192824
"2011-03-30"	1	152494	80696853
"2011-03-31"	7	6026550	3016709840
"2011-04-01"	NA	NA	NA
"2011-04-02"	NA	NA	NA
"2011-04-03"	27	1318116	335758698
"2011-04-04"	7	1522831	526948897
"2011-04-05"	24	380404	87539128
"2011-04-06"	17	57716784	4491835869
"2011-04-07"	14	807604	155058536
"2011-04-08"	2413	65203804	18684212153
"2011-04-09"	4	9074	4350826
"2011-04-10"	NA	NA	NA
"2011-04-11"	NA	NA	NA
"2011-04-12"	1	67007	12100594
"2011-04-13"	NA	NA	NA
"2011-04-14"	2	68376	16296483
"2011-04-15"	NA	NA	NA
"2011-04-16"	NA	NA	NA
"2011-04-17"	NA	NA	NA
"2011-04-18"	NA	NA	NA
"2011-04-19"	1	496410625	100274946250
"2011-04-20"	54	131621	59053220
"2011-04-21"	NA	NA	NA
"2011-04-22"	NA	NA	NA
"2011-04-23"	NA	NA	NA
"2011-04-24"	NA	NA	NA
"2011-04-25"	NA	NA	NA
"2011-04-26"	NA	NA	NA
"2011-04-27"	5	1243504	568070297
"2011-04-28"	96	839363	435367976
"2011-04-29"	NA	NA	NA
"2011-04-30"	NA	NA	NA
"2011-05-01"	NA	NA	NA
"2011-05-02"	34	98425456	29793146406
"2011-05-03"	NA	NA	NA
"2011-05-04"	192	350397034	89668040351
"2011-05-05"	100	65478028	14715582999
"2011-05-06"	NA	NA	NA
"2011-05-07"	NA	NA	NA
"2011-05-08"	NA	NA	NA
"2011-05-09"	39	433197660	118312204938
"2011-05-10"	118	426013	212645684
"2011-05-11"	NA	NA	NA
"2011-05-12"	NA	NA	NA
"2011-05-13"	NA	NA	NA
"2011-05-14"	NA	NA	NA
"2011-05-15"	NA	NA	NA
"2011-05-16"	3	48295	26579261
"2011-05-17"	NA	NA	NA
"2011-05-18"	NA	NA	NA
