"date"	"samples"	"reads"	"bases"
""	NA	NA	NA
"2014-01-01"	8	485817	212615164
"2014-01-02"	NA	NA	NA
"2014-01-03"	NA	NA	NA
"2014-01-04"	59	461397	240888974
"2014-01-05"	NA	NA	NA
"2014-01-06"	1	677220	348066733
"2014-01-07"	NA	NA	NA
"2014-01-08"	108	2125431	875378810
"2014-01-09"	NA	NA	NA
"2014-01-10"	NA	NA	NA
"2014-01-11"	NA	NA	NA
"2014-01-12"	NA	NA	NA
"2014-01-13"	11	8390459	4197136683
"2014-01-14"	651	1667638181	352394063441
"2014-01-15"	NA	NA	NA
"2014-01-16"	NA	NA	NA
"2014-01-17"	574	166842050	83119379978
"2014-01-18"	NA	NA	NA
"2014-01-19"	NA	NA	NA
"2014-01-20"	342	2105960	762546036
"2014-01-21"	833	122330811	33635524435
"2014-01-22"	71	1474830	752246849
"2014-01-23"	6	513460	153555128
"2014-01-24"	206	54537316	5989775892
"2014-01-25"	NA	NA	NA
"2014-01-26"	NA	NA	NA
"2014-01-27"	NA	NA	NA
"2014-01-28"	182	9684703	2857281992
"2014-01-29"	NA	NA	NA
"2014-01-30"	NA	NA	NA
"2014-01-31"	42	37312568	4221387100
"2014-02-01"	2	0	0
"2014-02-02"	18	174092	82535790
"2014-02-03"	40	522	192697
"2014-02-04"	NA	NA	NA
"2014-02-05"	234	173275825	33931724398
"2014-02-06"	NA	NA	NA
"2014-02-07"	7	133443879	9804251639
"2014-02-08"	NA	NA	NA
"2014-02-09"	32	158391	74114007
"2014-02-10"	NA	NA	NA
"2014-02-11"	NA	NA	NA
"2014-02-12"	94	349652	165924783
"2014-02-13"	748	110684985	20570400321
"2014-02-14"	46	511868	192738294
"2014-02-15"	8	152432	81708818
"2014-02-16"	NA	NA	NA
"2014-02-17"	NA	NA	NA
"2014-02-18"	NA	NA	NA
"2014-02-19"	NA	NA	NA
"2014-02-20"	NA	NA	NA
"2014-02-21"	NA	NA	NA
"2014-02-22"	NA	NA	NA
"2014-02-23"	NA	NA	NA
"2014-02-24"	20	345437	89611030
"2014-02-25"	50	65968745	19819086798
"2014-02-26"	50	232233343	46589412535
"2014-02-27"	76	78325598	22482320233
"2014-02-28"	NA	NA	NA
"2014-03-01"	NA	NA	NA
"2014-03-02"	184	72948812	14872275448
"2014-03-03"	480	669159942	115573743753
"2014-03-04"	NA	NA	NA
