"date"	"samples"	"reads"	"bases"
""	NA	NA	NA
"2013-01-01"	NA	NA	NA
"2013-01-02"	NA	NA	NA
"2013-01-03"	NA	NA	NA
"2013-01-04"	22	472683	111293938
"2013-01-05"	NA	NA	NA
"2013-01-06"	12	489101	184292156
"2013-01-07"	197	585809509	105769975982
"2013-01-08"	NA	NA	NA
"2013-01-09"	214	336073	165473705
"2013-01-10"	51	34957708	7214202310
"2013-01-11"	NA	NA	NA
"2013-01-12"	NA	NA	NA
"2013-01-13"	NA	NA	NA
"2013-01-14"	69	992204	164041313
"2013-01-15"	NA	NA	NA
"2013-01-16"	29	51909	27550122
"2013-01-17"	NA	NA	NA
"2013-01-18"	NA	NA	NA
"2013-01-19"	NA	NA	NA
"2013-01-20"	NA	NA	NA
"2013-01-21"	NA	NA	NA
"2013-01-22"	NA	NA	NA
"2013-01-23"	25	29915	13265131
"2013-01-24"	110	3153465	1246906478
"2013-01-25"	38	106566446	21570967314
"2013-01-26"	NA	NA	NA
"2013-01-27"	71	565194927	113310570370
"2013-01-28"	32	34171797	7026877851
"2013-01-29"	93	308729432	33019887881
"2013-01-30"	384	4684688708	235924409942
"2013-01-31"	15	31327168	4269867552
"2013-02-01"	NA	NA	NA
"2013-02-02"	1	13302136	2394384480
"2013-02-03"	NA	NA	NA
"2013-02-04"	1	13310979	2395976220
"2013-02-05"	NA	NA	NA
"2013-02-06"	NA	NA	NA
"2013-02-07"	NA	NA	NA
"2013-02-08"	7	2261804	887493422
"2013-02-09"	184	707108	153534148
"2013-02-10"	63	573763	185876290
"2013-02-11"	11	100055708	20014072123
"2013-02-12"	53	1246930	601214272
"2013-02-13"	NA	NA	NA
"2013-02-14"	36	188563	106234026
"2013-02-15"	225	3535984	1377339106
"2013-02-16"	NA	NA	NA
"2013-02-17"	NA	NA	NA
"2013-02-18"	2	25838	10868843
"2013-02-19"	1425	14431472	7265943236
"2013-02-20"	1	414444	191926735
"2013-02-21"	NA	NA	NA
"2013-02-22"	6	332952	154142775
"2013-02-23"	NA	NA	NA
"2013-02-24"	NA	NA	NA
"2013-02-25"	18	146474	78570050
"2013-02-26"	NA	NA	NA
"2013-02-27"	1	610536	125457079
"2013-02-28"	2089	1682101190	477593692906
"2013-03-01"	53	88308	16761064
"2013-03-02"	NA	NA	NA
"2013-03-03"	99	124551010	6479770392
"2013-03-04"	41	3310476	794494667
"2013-03-05"	NA	NA	NA
"2013-03-06"	46	342239214	24906493325
"2013-03-07"	NA	NA	NA
"2013-03-08"	12	415548154	20953600176
"2013-03-09"	NA	NA	NA
"2013-03-10"	21	377559524	18524124733
"2013-03-11"	11	498335	205124724
"2013-03-12"	85	665489070	126840438259
"2013-03-13"	NA	NA	NA
"2013-03-14"	1	160059	88230287
"2013-03-15"	NA	NA	NA
"2013-03-16"	NA	NA	NA
"2013-03-17"	NA	NA	NA
"2013-03-18"	51	874963	467185775
"2013-03-19"	50	444395	222748409
"2013-03-20"	290	0	0
"2013-03-21"	4	17920040	3596296749
"2013-03-22"	NA	NA	NA
"2013-03-23"	91	2049064	693422212
"2013-03-24"	1	0	0
"2013-03-25"	NA	NA	NA
"2013-03-26"	228	0	0
"2013-03-27"	NA	NA	NA
"2013-03-28"	112	1222849	570801124
"2013-03-29"	NA	NA	NA
"2013-03-30"	NA	NA	NA
"2013-03-31"	90	863834	370649768
"2013-04-01"	NA	NA	NA
"2013-04-02"	2	262024	78704948
"2013-04-03"	NA	NA	NA
"2013-04-04"	NA	NA	NA
"2013-04-05"	598	108094038	27544315323
"2013-04-06"	NA	NA	NA
"2013-04-07"	NA	NA	NA
"2013-04-08"	NA	NA	NA
"2013-04-09"	NA	NA	NA
"2013-04-10"	NA	NA	NA
"2013-04-11"	NA	NA	NA
"2013-04-12"	20	9732563	5556801141
"2013-04-13"	NA	NA	NA
"2013-04-14"	NA	NA	NA
