"date"	"samples"	"reads"	"bases"
""	NA	NA	NA
"2012-01-01"	NA	NA	NA
"2012-01-02"	14	344850206	101483585170
"2012-01-03"	15	577972	231716616
"2012-01-04"	1	39853	4732494
"2012-01-05"	139	4040325268	808485924935
"2012-01-06"	2	15898	6877591
"2012-01-07"	3	32110314	9588333944
"2012-01-08"	NA	NA	NA
"2012-01-09"	17	359576977	68375862052
"2012-01-10"	10	610270	276603111
"2012-01-11"	3	572669711	171800913300
"2012-01-12"	6	314906	82952291
"2012-01-13"	NA	NA	NA
"2012-01-14"	NA	NA	NA
"2012-01-15"	NA	NA	NA
"2012-01-16"	9	275636756	77085005588
"2012-01-17"	NA	NA	NA
"2012-01-18"	NA	NA	NA
"2012-01-19"	NA	NA	NA
"2012-01-20"	NA	NA	NA
"2012-01-21"	NA	NA	NA
"2012-01-22"	NA	NA	NA
"2012-01-23"	NA	NA	NA
"2012-01-24"	NA	NA	NA
"2012-01-25"	NA	NA	NA
"2012-01-26"	NA	NA	NA
"2012-01-27"	NA	NA	NA
"2012-01-28"	6	4523634	2414267966
"2012-01-29"	NA	NA	NA
"2012-01-30"	NA	NA	NA
"2012-01-31"	NA	NA	NA
"2012-02-01"	NA	NA	NA
"2012-02-02"	NA	NA	NA
"2012-02-03"	52	3851864133	1080183757328
"2012-02-04"	3	467753319	140325995700
"2012-02-05"	9	1450395798	192594085610
"2012-02-06"	11	1624813977	487478296637
"2012-02-07"	12	13401	8722082
"2012-02-08"	NA	NA	NA
"2012-02-09"	NA	NA	NA
"2012-02-10"	31	4372501316	1312081438352
"2012-02-11"	NA	NA	NA
"2012-02-12"	NA	NA	NA
"2012-02-13"	16	1419250253	386485528257
"2012-02-14"	NA	NA	NA
"2012-02-15"	2	58672359	15032838018
"2012-02-16"	11	1757985044	461308495794
"2012-02-17"	202	204653352	61340013112
"2012-02-18"	NA	NA	NA
"2012-02-19"	NA	NA	NA
"2012-02-20"	NA	NA	NA
"2012-02-21"	NA	NA	NA
"2012-02-22"	NA	NA	NA
"2012-02-23"	NA	NA	NA
"2012-02-24"	NA	NA	NA
"2012-02-25"	NA	NA	NA
"2012-02-26"	NA	NA	NA
"2012-02-27"	NA	NA	NA
"2012-02-28"	66	579918828	168090901688
"2012-02-29"	55	456334	98688830
"2012-03-01"	NA	NA	NA
"2012-03-02"	34	955562	177056677
"2012-03-03"	NA	NA	NA
"2012-03-04"	NA	NA	NA
"2012-03-05"	NA	NA	NA
"2012-03-06"	NA	NA	NA
"2012-03-07"	103	315562281	63551183218
"2012-03-08"	NA	NA	NA
"2012-03-09"	70	569543	119331052
"2012-03-10"	3	236658901	71006961541
"2012-03-11"	NA	NA	NA
"2012-03-12"	1	1355703	648687360
"2012-03-13"	NA	NA	NA
"2012-03-14"	5	551124846	165337453800
"2012-03-15"	NA	NA	NA
"2012-03-16"	NA	NA	NA
"2012-03-17"	NA	NA	NA
"2012-03-18"	NA	NA	NA
"2012-03-19"	NA	NA	NA
"2012-03-20"	NA	NA	NA
"2012-03-21"	NA	NA	NA
"2012-03-22"	2	1281921	698058718
"2012-03-23"	NA	NA	NA
"2012-03-24"	NA	NA	NA
"2012-03-25"	NA	NA	NA
"2012-03-26"	NA	NA	NA
"2012-03-27"	NA	NA	NA
"2012-03-28"	60	0	0
"2012-03-29"	54	1254420778	295080122782
"2012-03-30"	44	1192736	261049456
"2012-03-31"	NA	NA	NA
"2012-04-01"	2	60896612	9073595188
"2012-04-02"	NA	NA	NA
"2012-04-03"	31	35466782	3594339720
"2012-04-04"	279	736694	290891233
"2012-04-05"	NA	NA	NA
"2012-04-06"	NA	NA	NA
"2012-04-07"	NA	NA	NA
"2012-04-08"	NA	NA	NA
"2012-04-09"	NA	NA	NA
"2012-04-10"	2	464853	202834547
"2012-04-11"	NA	NA	NA
"2012-04-12"	19	264195545	79394459818
"2012-04-13"	33	17188332	8221661832
"2012-04-14"	9	159109	88516686
"2012-04-15"	3	127657	60737656
"2012-04-16"	3	701069	149782625
"2012-04-17"	12	2294698	1962058961
"2012-04-18"	NA	NA	NA
"2012-04-19"	NA	NA	NA
"2012-04-20"	NA	NA	NA
"2012-04-21"	60	3295925	1628801694
"2012-04-22"	42	324253273	73900462494
"2012-04-23"	NA	NA	NA
"2012-04-24"	NA	NA	NA
"2012-04-25"	28	6901070302	2070321090600
"2012-04-26"	NA	NA	NA
"2012-04-27"	NA	NA	NA
"2012-04-28"	NA	NA	NA
"2012-04-29"	NA	NA	NA
"2012-04-30"	10	1577217985	346386985061
"2012-05-01"	222	2164617	1161570811
"2012-05-02"	9	25987	5285490
"2012-05-03"	NA	NA	NA
"2012-05-04"	NA	NA	NA
"2012-05-05"	NA	NA	NA
"2012-05-06"	NA	NA	NA
"2012-05-07"	6	735738	365026555
"2012-05-08"	4	492059	261880650
"2012-05-09"	NA	NA	NA
"2012-05-10"	NA	NA	NA
"2012-05-11"	52	425682178	127818022947
"2012-05-12"	16	63358	30116232
"2012-05-13"	NA	NA	NA
"2012-05-14"	NA	NA	NA
"2012-05-15"	49	487218101	116706903614
"2012-05-16"	NA	NA	NA
"2012-05-17"	8	3621651	584136657
"2012-05-18"	108	1142694246	217798223120
"2012-05-19"	NA	NA	NA
"2012-05-20"	NA	NA	NA
"2012-05-21"	NA	NA	NA
"2012-05-22"	NA	NA	NA
"2012-05-23"	NA	NA	NA
"2012-05-24"	NA	NA	NA
"2012-05-25"	NA	NA	NA
"2012-05-26"	NA	NA	NA
"2012-05-27"	NA	NA	NA
"2012-05-28"	NA	NA	NA
"2012-05-29"	3	129491	72798647
"2012-05-30"	NA	NA	NA
"2012-05-31"	2	285440	114921028
"2012-06-01"	15	108048	47088784
"2012-06-02"	NA	NA	NA
"2012-06-03"	NA	NA	NA
"2012-06-04"	NA	NA	NA
"2012-06-05"	NA	NA	NA
"2012-06-06"	1	262298	64719066
"2012-06-07"	28	27745925	9297517590
"2012-06-08"	3	1755487	951804389
"2012-06-09"	1	6771	2478417
"2012-06-10"	NA	NA	NA
"2012-06-11"	163	105329736	19985478585
"2012-06-12"	623	1097374363	108378447390
"2012-06-13"	1289	10860756	3946323658
"2012-06-14"	NA	NA	NA
"2012-06-15"	NA	NA	NA
"2012-06-16"	NA	NA	NA
"2012-06-17"	NA	NA	NA
"2012-06-18"	66	895875	297201839
"2012-06-19"	NA	NA	NA
"2012-06-20"	NA	NA	NA
"2012-06-21"	158	5208322415	1043684690082
"2012-06-22"	20	1340421272	268454153572
"2012-06-23"	NA	NA	NA
"2012-06-24"	NA	NA	NA
"2012-06-25"	NA	NA	NA
"2012-06-26"	NA	NA	NA
"2012-06-27"	311	14140126869	2828731498572
"2012-06-28"	93	1609755	469467100
"2012-06-29"	181	2878855	722755539
"2012-06-30"	NA	NA	NA
"2012-07-01"	NA	NA	NA
"2012-07-02"	2	12818072	506748291
"2012-07-03"	NA	NA	NA
"2012-07-04"	NA	NA	NA
"2012-07-05"	NA	NA	NA
"2012-07-06"	6	37116354	6892921323
"2012-07-07"	NA	NA	NA
"2012-07-08"	NA	NA	NA
"2012-07-09"	29	327733	153301330
"2012-07-10"	NA	NA	NA
"2012-07-11"	NA	NA	NA
"2012-07-12"	NA	NA	NA
"2012-07-13"	NA	NA	NA
"2012-07-14"	NA	NA	NA
"2012-07-15"	NA	NA	NA
"2012-07-16"	NA	NA	NA
"2012-07-17"	NA	NA	NA
"2012-07-18"	NA	NA	NA
"2012-07-19"	NA	NA	NA
"2012-07-20"	NA	NA	NA
"2012-07-21"	NA	NA	NA
"2012-07-22"	NA	NA	NA
"2012-07-23"	NA	NA	NA
"2012-07-24"	6	49045	25315350
"2012-07-25"	NA	NA	NA
"2012-07-26"	NA	NA	NA
"2012-07-27"	NA	NA	NA
"2012-07-28"	NA	NA	NA
"2012-07-29"	NA	NA	NA
"2012-07-30"	700	342474379	71689437098
"2012-07-31"	88	3915088	1524215379
"2012-08-01"	142	1319543	581761143
"2012-08-02"	63	631869	337049346
"2012-08-03"	NA	NA	NA
"2012-08-04"	NA	NA	NA
"2012-08-05"	NA	NA	NA
"2012-08-06"	NA	NA	NA
"2012-08-07"	NA	NA	NA
"2012-08-08"	NA	NA	NA
"2012-08-09"	NA	NA	NA
"2012-08-10"	NA	NA	NA
"2012-08-11"	NA	NA	NA
"2012-08-12"	NA	NA	NA
"2012-08-13"	16	172931	38264702
"2012-08-14"	4	16513	8947893
"2012-08-15"	NA	NA	NA
"2012-08-16"	NA	NA	NA
"2012-08-17"	NA	NA	NA
"2012-08-18"	NA	NA	NA
"2012-08-19"	NA	NA	NA
"2012-08-20"	NA	NA	NA
"2012-08-21"	NA	NA	NA
"2012-08-22"	NA	NA	NA
"2012-08-23"	NA	NA	NA
"2012-08-24"	NA	NA	NA
"2012-08-25"	NA	NA	NA
"2012-08-26"	NA	NA	NA
"2012-08-27"	NA	NA	NA
"2012-08-28"	NA	NA	NA
"2012-08-29"	285	29243613	2603379085
"2012-08-30"	NA	NA	NA
"2012-08-31"	14	313072	98569951
"2012-09-01"	933	1662915	619761223
"2012-09-02"	NA	NA	NA
"2012-09-03"	470	52523505	12532835092
"2012-09-04"	11	2218879	1203418169
"2012-09-05"	NA	NA	NA
"2012-09-06"	NA	NA	NA
"2012-09-07"	NA	NA	NA
"2012-09-08"	NA	NA	NA
"2012-09-09"	NA	NA	NA
"2012-09-10"	NA	NA	NA
"2012-09-11"	322	4002829	427223305
"2012-09-12"	228	140855697	29357950977
"2012-09-13"	3	116400	57150585
"2012-09-14"	NA	NA	NA
"2012-09-15"	144	2273884550	373686343726
"2012-09-16"	NA	NA	NA
"2012-09-17"	1	15423345	2776202100
"2012-09-18"	235	47303425	3516224939
"2012-09-19"	NA	NA	NA
"2012-09-20"	1	37894	18952886
"2012-09-21"	NA	NA	NA
"2012-09-22"	NA	NA	NA
"2012-09-23"	NA	NA	NA
"2012-09-24"	NA	NA	NA
"2012-09-25"	3	371626	199992826
"2012-09-26"	NA	NA	NA
"2012-09-27"	218	5012200845	902196152100
"2012-09-28"	NA	NA	NA
"2012-09-29"	2	289084	55805110
"2012-09-30"	NA	NA	NA
"2012-10-01"	NA	NA	NA
"2012-10-02"	1	546342	291289287
"2012-10-03"	1	30083	15120750
"2012-10-04"	33	367771	176856519
"2012-10-05"	5591	15381756618	2987626690556
"2012-10-06"	NA	NA	NA
"2012-10-07"	NA	NA	NA
"2012-10-08"	7	39058714	4372885311
"2012-10-09"	NA	NA	NA
"2012-10-10"	NA	NA	NA
"2012-10-11"	278	138757394	24235363957
"2012-10-12"	106	687244	288776800
"2012-10-13"	NA	NA	NA
