"date"	"samples"	"reads"	"bases"
""	NA	NA	NA
"2017-01-01"	1015	379145049	139469808021
"2017-01-02"	36	121382906	23783884723
"2017-01-03"	1431	508468590	145616040948
"2017-01-04"	2103	172081471	87340190706
"2017-01-05"	83	164883980	49046151302
"2017-01-06"	268	60149111	24339208996
"2017-01-07"	149	53555951	15702684410
"2017-01-08"	411	34453906	9242946074
"2017-01-09"	571	28747515	7969962457
"2017-01-10"	372	0	0
"2017-01-11"	555	482372124	75839709537
"2017-01-12"	NA	NA	NA
"2017-01-13"	808	560731595	172005090875
"2017-01-14"	511	63249579	24627260547
"2017-01-15"	1012	5082383495	572749684951
"2017-01-16"	769	2319862144	267204633050
"2017-01-17"	612	3631643064	360122562985
"2017-01-18"	371	38357386	13861383503
"2017-01-19"	655	1686053442	488217807614
"2017-01-20"	193	1983452586	603634056725
"2017-01-21"	407	2257085019	467575060053
"2017-01-22"	NA	NA	NA
"2017-01-23"	NA	NA	NA
"2017-01-24"	1614	913399154	248940007323
"2017-01-25"	1279	1995303833	434771315254
"2017-01-26"	378	1079166384	447843193955
"2017-01-27"	353	5667970312	1854493696417
"2017-01-28"	579	5121954376	1547034444263
"2017-01-29"	262	5284455224	1592539156553
"2017-01-30"	561	7762530453	2226289412033
"2017-01-31"	808	2524166698	784823198225
"2017-02-01"	752	254793232	79582243885
"2017-02-02"	289	1071042946	176302583213
"2017-02-03"	458	119207774	31183171846
"2017-02-04"	930	1380731541	328870583698
"2017-02-05"	827	584951508	172095779740
"2017-02-06"	213	13617651	5448194401
"2017-02-07"	1108	1168412392	384427836806
"2017-02-08"	446	598408219	182086105435
"2017-02-09"	NA	NA	NA
"2017-02-10"	NA	NA	NA
"2017-02-11"	NA	NA	NA
"2017-02-12"	NA	NA	NA
"2017-02-13"	NA	NA	NA
"2017-02-14"	2522	527385200	81844583244
"2017-02-15"	1744	15397994609	4583758711141
"2017-02-16"	531	2408699402	666395558398
"2017-02-17"	2224	4430542237	1361037040835
"2017-02-18"	1136	2084597136	625164291230
"2017-02-19"	863	1391192386	423271672746
"2017-02-20"	1355	940194789	283358354282
"2017-02-21"	358	945340669	291223846854
"2017-02-22"	525	948061712	259420247764
"2017-02-23"	1220	1893273838	584460393340
"2017-02-24"	271	804836816	358442026250
"2017-02-25"	852	95305570	32971682210
"2017-02-26"	92	4172235	2026924371
"2017-02-27"	452	62458818	33621195516
"2017-02-28"	1529	3707682537	927468401068
"2017-03-01"	1109	2445693060	558371037858
"2017-03-02"	1196	7367562716	1273089723529
"2017-03-03"	990	239513169	57917643838
"2017-03-04"	820	365474624	86715029205
"2017-03-05"	343	58226284	24444789916
"2017-03-06"	45	672555	317796445
"2017-03-07"	5443	780026418	250669928175
"2017-03-08"	305	972738933	220383426282
"2017-03-09"	491	74793796	35793424911
"2017-03-10"	689	1050263281	247557050872
"2017-03-11"	381	34811821	18329157357
"2017-03-12"	44	1665883	636208956
"2017-03-13"	70	173229473	45113396780
"2017-03-14"	684	717849309	166567618509
"2017-03-15"	240	115367393	27097337397
"2017-03-16"	1228	145989790	33251922622
"2017-03-17"	355	141857394	29413615197
